order_id,order_date,region,city,product_name,category,quantity,unit_price,total_revenue,customer_id,sales_channel
UK-2026-103357,2026-05-31,East,Patna,Leather Wallet,Fashion,2,928,1856,CUST-61164,Website
UK-2026-103178,2026-05-10,North,Delhi,Running Sneakers,Fashion,1,2670,2670,CUST-18377,App
UK-2026-101093,2026-02-24,Central,Raipur,Makeup Brush Set,Beauty,1,1247,1247,CUST-54231,App
UK-2026-101743,2026-03-31,Central,Bhopal,Mirrorless Camera Lite,Electronics,1,30405,30405,CUST-50243,Website
UK-2026-103741,2026-05-30,South,Bengaluru,Wireless Earbuds Pro,Electronics,1,2916,2916,CUST-66928,Marketplace
UK-2026-102743,2026-04-12,North,Noida,Leather Wallet,Fashion,1,894,894,CUST-42019,App
UK-2026-103052,2026-04-30,East,Bhubaneswar,Ethnic Dupatta,Fashion,2,499,998,CUST-67040,App
UK-2026-100557,2026-01-31,West,Mumbai,Wireless Earbuds Pro,Electronics,1,3041,3041,CUST-94365,App
UK-2026-102062,2026-03-15,North,Gurugram,Yoga Mat Pro,Sports,3,1253,3759,CUST-79846,App
UK-2026-103969,2026-05-26,East,Guwahati,Wireless Earbuds Pro,Electronics,1,2963,2963,CUST-50462,Website
UK-2026-104906,2026-06-01,West,Ahmedabad,Noise-Cancelling Headphones,Electronics,2,8950,17900,CUST-45022,App
UK-2026-101087,2026-02-09,North,Noida,Foldable Treadmill T2,Sports,,25778,25778,CUST-51934,App
UK-2026-103653,2026-05-06,South,Kochi,Smart Watch X2,Electronics,2,4563,9126,CUST-20282,Website
UK-2026-102459,2026-04-06,South,Chennai,43-inch Smart TV,Electronics,1,25402,25402,CUST-19724,Marketplace
UK-2026-100433,2026-01-24,North,Chandigarh,Ultrabook Air 14,Electronics,1,30765,30765,CUST-87777,App
UK-2026-102695,2026-04-13,West,Pune,Smart Watch X2,Electronics,1,4404,4404,CUST-86509,Marketplace
UK-2026-102365,2026-04-25,South,Bengaluru,Ultrabook Air 14,Electronics,2,29184,58368,CUST-54395,App
UK-2026-101104,2026-02-14,North,Delhi,Modern Wall Clock,Home & Kitchen,1,834,834,CUST-63025,App
UK-2026-101794,2026-03-25,South,Chennai,Mixer Grinder 750W,Home & Kitchen,1,3298,3298,CUST-67011,Website
UK-2026-102076,2026-03-13,Central,Raipur,Electric Kettle 1.5L,Home & Kitchen,1,1094,1094,CUST-22943,Website
UK-2026-100552,2026-01-17,South,Hyderabad,Mirrorless Camera Lite,Electronics,1,28194,28194,CUST-71647,App
UK-2026-103194,2026-05-19,South,Hyderabad,Mixer Grinder 750W,Home & Kitchen,1,3315,3315,CUST-27825,Website
UK-2026-100711,2026-01-14,North,Chandigarh,Running Sneakers,Fashion,2,2900,5800,CUST-90831,App
UK-2026-102768,2026-04-11,West,Mumbai,Matte Lipstick Set,Beauty,1,912,912,CUST-21527,App
UK-2026-102066,2026-03-31,East,Patna,43-inch Smart TV,Electronics,1,24734,24734,CUST-55279,App
UK-2026-102752,2026-04-03,North,Gurugram,Bluetooth Speaker Mini,Electronics,1,1425,1425,CUST-95279,Website
UK-2026-100198,2026-01-10,North,Delhi,Matte Lipstick Set,Beauty,1,943,943,CUST-57791,Website
UK-2026-104792,2026-06-13,North,Chandigarh,Robot Vacuum R7,Home & Kitchen,2,18492,36984,CUST-65476,App
UK-2026-100578,2026-01-23,South,Kochi,Football Size 5,Sports,1,898,898,CUST-73078,App
UK-2026-101635,2026-03-31,West,Surat,Adjustable Dumbbells 15kg,Sports,4,4975,19900,CUST-46866,App
UK-2026-102895,2026-04-14,South,Hyderabad,Power Bank 20000mAh,Electronics,2,1882,3764,CUST-63936,Marketplace
UK-2026-103185,2026-05-02,North,Noida,Ionic Hair Dryer,Beauty,1,1848,1848,CUST-38221,Marketplace
UK-2026-100165,2026-01-15,North,Noida,Dinner Set 24pc,Home & Kitchen,4,2445,9780,CUST-32989,App
UK-2026-100375,2026-01-20,Central,Raipur,Mixer Grinder 750W,Home & Kitchen,1,3221,3221,CUST-36419,App
UK-2026-100541,2026-01-08,South,Hyderabad,Foldable Treadmill T2,Sports,1,25636,25636,CUST-10129,Website
UK-2026-104100,2026-06-07,South,Hyderabad,Formal Shirt,Fashion,1,1106,1106,CUST-98331,Website
UK-2026-102798,2026-04-22,Central,Raipur,Wireless Earbuds Pro,Electronics,2,2885,5770,CUST-70699,App
UK-2026-102691,2026-04-12,East,Bhubaneswar,Ionic Hair Dryer,Beauty,1,1865,1865,CUST-18787,Marketplace
UK-2026-104690,2026-06-02,East,Guwahati,Face Wash Combo,Beauty,1,445,445,CUST-28238,App
UK-2026-101533,2026-03-19,North,Gurugram,Cricket Bat English Willow,Sports,3,9364,28092,CUST-19215,Marketplace
UK-2026-104727,2026-06-25,North,Gurugram,Power Bank 20000mAh,Electronics,3,1855,5565,CUST-96448,Marketplace
UK-2026-100859,2026-02-05,North,Noida,Cotton Bedsheet Set,Home & Kitchen,1,1407,1407,CUST-94386,App
UK-2026-100275,2026-01-19,West,Ahmedabad,Slim Fit Jeans,Fashion,2,1558,3116,CUST-31710,Website
UK-2026-104423,2026-06-19,North,Delhi,Foldable Treadmill T2,Sports,1,25961,25961,CUST-98961,Website
UK-2026-103312,12-May-26,North,Chandigarh,Yoga Mat Pro,Sports,2,1140,2280,CUST-25163,App
UK-2026-101021,2026-02-18,South,Madras,Eau de Parfum 100ml,Beauty,2,2020,4040,CUST-88911,Marketplace
UK-2026-103554,2026-05-18,South,Kochi,Cotton Kurta Set,Fashion,1,1337,1337,CUST-66199,Website
UK-2026-104892,2026-06-27,Central,Raipur,Yoga Mat Pro,Sports,1,1170,1170,CUST-77613,Website
UK-2026-103682,2026-05-06,North,Delhi,Leather Wallet,Fashion,1,855,855,CUST-18161,Marketplace
UK-2026-104663,2026-06-20,North,Chandigarh,Face Wash Combo,Beauty,1,462,462,CUST-51685,Website
UK-2026-101671,2026-03-13,Central,Indore,Denim Jacket,Fashion,1,2166,2166,CUST-74232,Website
UK-2026-100381,2026-01-29,West,Pune,Leather Wallet,Fashion,1,937,937,CUST-50837,Website
UK-2026-100127,2026-01-03,West,Ahmedabad,Yoga Mat Pro,Sports,1,1249,1249,CUST-57335,Marketplace
UK-2026-103807,2026-05-11,East,Kolkata,Slim Fit Jeans,Fashion,1,1660,1660,CUST-38792,App
UK-2026-101491,2026-03-12,North,Gurugram,Football Size 5,Sports,2,891,1782,CUST-97543,Website
UK-2026-101698,2026-03-31,South,Bengaluru,Non-Stick Cookware Set,Home & Kitchen,1,2964,2964,CUST-15418,Website
UK-2026-100408,2026-01-29,South,Kochi,Smart Watch X2,Electronics,1,4469,"4,469.00",CUST-18865,Website
UK-2026-103169,2026-05-07,North,Noida,Mirrorless Camera Lite,Electronics,1,29406,29406,CUST-93195,Website
UK-2026-100176,2026-01-12,South,Chennai,Slim Fit Jeans,Fashion,2,1565,3130,CUST-67388,Website
UK-2026-103637,2026-05-22,North,Chandigarh,Non-Stick Cookware Set,Home & Kitchen,1,2858,2858,CUST-87414,App
UK-2026-100971,2026-02-13,North,Chandigarh,Smart Watch X2,Electronics,1,4581,4581,CUST-57335,App
UK-2026-104548,2026-06-08,South,Kochi,Non-Stick Cookware Set,Home & Kitchen,1,2905,2905,CUST-76336,App
UK-2026-100537,2026-01-19,South,Bengaluru,Eau de Parfum 100ml,Beauty,3,1943,5829,CUST-57687,App
UK-2026-100807,2026-02-06,West,Pune,Slim Fit Jeans,Fashion,1,1556,1556,CUST-22395,App
UK-2026-102061,2026-03-21,Central,Indore,Ethnic Dupatta,Fashion,,520,520,CUST-41578,App
UK-2026-103336,2026-05-30,North,Gurugram,Vitamin C Serum,Beauty,2,671,1342,CUST-17439,Website
UK-2026-102718,2026-04-29,East,Kolkata,Cycling Helmet,Sports,1,1633,1633,CUST-65435,Marketplace
UK-2026-103979,2026-05-23,West,Surat,Foldable Treadmill T2,Sports,2,24615,49230,CUST-15418,Website
UK-2026-100625,2026-01-06,North,Chandigarh,Formal Shirt,Fashion,1,1099,1099,CUST-24748,App
UK-2026-102881,2026-04-15,West,Ahmedabad,Running Sneakers,Fashion,1,2789,2789,CUST-52681,App
UK-2026-100436,2026-01-20,South,Bengaluru,Smart Watch X2,Electronics,1,4721,4721,CUST-62679,Website
UK-2026-100809,2026-02-26,Central,Bhopal,Badminton Racket Set,Sports,1,2505,2505,CUST-77097,App
UK-2026-104916,2026-06-05,West,Pune,Cotton Kurta Set,Fashion,2,1250,2500,CUST-96738,Marketplace
